scenarioID,hostRegionCode,primaryAreaCode,matchStageCode,stadiumCapacity,ticketHolders,transitPassengers,pedestrianVolume,areaPedestrianVolume,egressMinutes,fTAFundingMillions,latitude,longitude,analysisRadiusM,outcome
30,8,15,0,80663,60525,16269,40151,22083,67,10.438681,40.807664,-74.069833,250,0
31,10,19,0,68827,60789,33297,18823,12235,100,8.807888,37.403468,-121.974908,250,1
32,3,6,0,70649,61674,9313,9225,4151,96,10.033037,32.7506,-97.0915,350,0
33,9,17,0,68324,59330,31822,28979,17387,72,8.474327,39.9047,-75.1736,250,1
34,6,11,2,70492,67607,33488,14144,7072,124,9.603284,33.9509,-118.3441,350,1
35,11,21,0,66925,50733,28443,25785,14182,40,8.408439,47.5917,-122.3272,250,0
36,6,11,0,70492,59681,21123,10936,5468,127,9.603284,33.9509,-118.3441,350,0
37,3,6,0,70649,63025,8517,12436,5596,107,10.033037,32.7506,-97.0915,350,0
38,3,6,4,70649,61136,12909,16089,7240,112,10.033037,32.7506,-97.0915,350,0
39,3,6,1,70649,57825,10400,8397,3779,101,10.033037,32.7506,-97.0915,350,0
40,6,11,0,70492,60066,17974,10633,5317,96,9.603284,33.9509,-118.3441,350,0
41,10,19,0,68827,58514,26550,27549,17907,79,8.807888,37.403468,-121.974908,250,1
42,5,10,0,69045,56833,4537,7168,3226,125,8.632123,39.0491,-94.4871,400,0
43,10,19,2,68827,55901,33603,21750,14138,85,8.807888,37.403468,-121.974908,250,0
44,1,1,0,68239,55402,28410,16725,9701,62,9.391018,33.7565,-84.4038,250,0
45,3,6,1,70649,60975,3820,5145,2315,109,10.033037,32.7506,-97.0915,350,0
46,7,14,0,64478,61097,15271,8076,3634,127,8.69743,25.9549,-80.2383,350,1
47,11,21,5,66925,56617,31660,31479,17313,80,8.408439,47.5917,-122.3272,250,1
48,1,1,0,68239,58889,34321,24667,14307,61,9.391018,33.7565,-84.4038,250,0
49,4,7,0,68777,58639,19452,17798,10679,85,9.092387,29.6852,-95.407,250,0
50,8,15,2,80663,63204,22732,38598,21229,73,10.438681,40.807664,-74.069833,250,0
51,10,19,2,68827,60559,31983,18472,12007,90,8.807888,37.403468,-121.974908,250,1
52,10,19,0,68827,58899,29778,22558,14663,90,8.807888,37.403468,-121.974908,250,1
53,5,10,2,69045,61808,10606,4945,2225,150,8.632123,39.0491,-94.4871,400,0
54,3,6,1,70649,60220,10744,11773,5298,101,10.033037,32.7506,-97.0915,350,0
55,1,1,0,68239,64189,27924,19134,11098,42,9.391018,33.7565,-84.4038,250,0
56,4,7,0,68777,68639,19577,26708,16025,78,9.092387,29.6852,-95.407,250,0
57,11,21,1,66925,52643,27900,25125,13819,68,8.408439,47.5917,-122.3272,250,0
58,11,21,1,66925,54351,33926,30310,16671,81,8.408439,47.5917,-122.3272,250,1
59,2,4,2,64146,61779,11128,10850,3797,116,8.671598,42.0916,-71.2648,300,1
60,9,17,1,68324,59496,27068,38616,23170,90,8.474327,39.9047,-75.1736,250,1
61,6,11,0,70492,64469,23875,13567,6784,101,9.603284,33.9509,-118.3441,350,0
62,11,21,0,66925,61416,30243,30155,16585,74,8.408439,47.5917,-122.3272,250,1
63,3,6,1,70649,52281,5521,9193,4137,114,10.033037,32.7506,-97.0915,350,0
64,8,15,3,80663,69851,20847,40709,22390,76,10.438681,40.807664,-74.069833,250,1
65,5,10,4,69045,59704,3080,10752,4838,136,8.632123,39.0491,-94.4871,400,0
66,11,21,0,66925,66791,32359,32717,17994,76,8.408439,47.5917,-122.3272,250,1
67,5,10,1,69045,58262,2913,12754,5739,112,8.632123,39.0491,-94.4871,400,0
68,7,14,0,64478,57898,9999,8874,3993,125,8.69743,25.9549,-80.2383,350,0
69,7,14,0,64478,47691,7646,10949,4927,107,8.69743,25.9549,-80.2383,350,0
70,11,21,0,66925,64999,33698,36695,20182,60,8.408439,47.5917,-122.3272,250,1
71,1,1,1,68239,55865,26628,27348,15862,60,9.391018,33.7565,-84.4038,250,0
72,4,7,0,68777,48624,18869,13961,8377,65,9.092387,29.6852,-95.407,250,0
73,4,7,0,68777,61400,24020,19070,11442,80,9.092387,29.6852,-95.407,250,0
74,8,15,0,80663,65217,17941,36113,19862,81,10.438681,40.807664,-74.069833,250,0
75,1,1,1,68239,64577,36230,23103,13400,55,9.391018,33.7565,-84.4038,250,1
76,1,1,0,68239,51780,25407,18407,10676,62,9.391018,33.7565,-84.4038,250,0
77,8,15,0,80663,71510,20257,45599,25079,66,10.438681,40.807664,-74.069833,250,0
78,7,13,1,64478,54985,15812,7054,3880,136,8.69743,25.957,-80.2425,400,0
79,3,6,0,70649,55711,5421,13501,6075,112,10.033037,32.7506,-97.0915,350,0
80,1,1,1,68239,54666,22513,22347,12961,56,9.391018,33.7565,-84.4038,250,0
81,4,8,0,68777,56423,9429,15648,6259,82,9.092387,29.6846,-95.4141,300,0
82,8,15,3,80663,79204,31825,47700,26235,82,10.438681,40.807664,-74.069833,250,1
83,10,19,1,68827,60118,32752,24013,15608,84,8.807888,37.403468,-121.974908,250,1
84,8,16,0,80663,70329,16036,37256,16765,76,10.438681,40.81145,-74.07075,350,0
85,8,15,0,80663,62838,17668,39151,21533,53,10.438681,40.807664,-74.069833,250,0
86,4,7,2,68777,57852,15467,9833,5900,73,9.092387,29.6852,-95.407,250,0
87,2,4,0,64146,46514,11418,9390,3287,97,8.671598,42.0916,-71.2648,300,0
88,2,3,0,64146,54311,14472,5685,3695,108,8.671598,42.0889,-71.2597,250,0
89,1,1,1,68239,63582,28187,22085,12809,53,9.391018,33.7565,-84.4038,250,0
90,1,1,2,68239,51789,22384,23775,13789,59,9.391018,33.7565,-84.4038,250,0
91,1,1,3,68239,59341,30695,22097,12816,75,9.391018,33.7565,-84.4038,250,1
92,1,1,1,68239,66172,37938,27562,15986,62,9.391018,33.7565,-84.4038,250,1
93,8,15,0,80663,70756,18825,39258,21592,72,10.438681,40.807664,-74.069833,250,0
94,3,6,1,70649,63859,9699,14240,6408,112,10.033037,32.7506,-97.0915,350,0
95,6,11,0,70492,61477,24176,16330,8165,111,9.603284,33.9509,-118.3441,350,1
96,9,17,0,68324,62534,23362,23255,13953,87,8.474327,39.9047,-75.1736,250,1
97,6,11,1,70492,56204,19808,11580,5790,108,9.603284,33.9509,-118.3441,350,0
98,8,15,0,80663,69128,19649,41641,22903,77,10.438681,40.807664,-74.069833,250,0
99,8,15,1,80663,64089,21786,28796,15838,59,10.438681,40.807664,-74.069833,250,0
100,6,11,0,70492,58703,25324,11509,5755,112,9.603284,33.9509,-118.3441,350,1
101,6,11,0,70492,54612,21035,16909,8455,93,9.603284,33.9509,-118.3441,350,0
102,8,15,0,80663,50224,13006,23594,12977,82,10.438681,40.807664,-74.069833,250,0
103,6,11,3,70492,66759,35491,12400,6200,117,9.603284,33.9509,-118.3441,350,1
104,3,6,0,70649,59026,5817,8811,3965,96,10.033037,32.7506,-97.0915,350,0
105,11,21,0,66925,54438,30111,30134,16574,63,8.408439,47.5917,-122.3272,250,1
106,8,15,0,80663,75479,29246,52301,28766,77,10.438681,40.807664,-74.069833,250,1
107,6,11,0,70492,59374,19888,11219,5610,98,9.603284,33.9509,-118.3441,350,0
108,3,6,0,70649,55964,4215,4477,2015,108,10.033037,32.7506,-97.0915,350,0
109,10,19,0,68827,61134,29329,22573,14672,79,8.807888,37.403468,-121.974908,250,1
110,3,6,0,70649,56494,12108,11366,5115,103,10.033037,32.7506,-97.0915,350,0
111,9,17,0,68324,60006,27572,28761,17257,75,8.474327,39.9047,-75.1736,250,1
112,8,15,1,80663,64940,21223,41950,23073,73,10.438681,40.807664,-74.069833,250,0
113,10,19,0,68827,57001,35071,23233,15101,86,8.807888,37.403468,-121.974908,250,1
114,5,10,2,69045,57169,4186,8192,3686,132,8.632123,39.0491,-94.4871,400,0
115,7,14,1,64478,56383,12573,9456,4255,103,8.69743,25.9549,-80.2383,350,0
116,2,3,0,64146,57550,15121,11319,7357,95,8.671598,42.0889,-71.2597,250,0
117,3,6,0,70649,59399,10047,10223,4600,106,10.033037,32.7506,-97.0915,350,0
118,11,21,0,66925,56123,33987,26606,14633,69,8.408439,47.5917,-122.3272,250,1
119,11,21,0,66925,55404,26080,27784,15281,66,8.408439,47.5917,-122.3272,250,0
120,3,6,0,70649,54815,6895,8373,3768,98,10.033037,32.7506,-97.0915,350,0
121,11,21,3,66925,55480,32303,35756,19666,84,8.408439,47.5917,-122.3272,250,1
122,3,6,0,70649,60595,8211,10948,4927,122,10.033037,32.7506,-97.0915,350,0
123,1,1,0,68239,57954,24173,16216,9405,60,9.391018,33.7565,-84.4038,250,0
124,1,1,0,68239,60891,32524,18671,10829,59,9.391018,33.7565,-84.4038,250,0
125,10,19,1,68827,61861,32993,22511,14632,85,8.807888,37.403468,-121.974908,250,1
126,10,19,0,68827,61830,31182,24039,15625,92,8.807888,37.403468,-121.974908,250,1
127,4,7,1,68777,58118,19422,20205,12123,85,9.092387,29.6852,-95.407,250,0
128,10,19,0,68827,48527,25638,16141,10492,70,8.807888,37.403468,-121.974908,250,0
129,10,19,0,68827,63185,36306,27795,18067,99,8.807888,37.403468,-121.974908,250,1
130,9,17,0,68324,56223,22018,27545,16527,84,8.474327,39.9047,-75.1736,250,1
131,10,19,1,68827,59624,40529,23292,15140,101,8.807888,37.403468,-121.974908,250,1
132,8,15,0,80663,71549,19383,47993,26396,64,10.438681,40.807664,-74.069833,250,0
133,4,7,0,68777,57670,20755,20680,12408,68,9.092387,29.6852,-95.407,250,0
134,8,15,0,80663,70793,21338,45547,25051,80,10.438681,40.807664,-74.069833,250,0
135,1,1,1,68239,56754,25194,20629,11965,66,9.391018,33.7565,-84.4038,250,0
136,2,4,0,64146,62246,10388,16809,5883,108,8.671598,42.0916,-71.2648,300,0
137,7,14,1,64478,50278,10602,4022,1810,129,8.69743,25.9549,-80.2383,350,0
138,5,10,0,69045,57623,7306,6188,2785,124,8.632123,39.0491,-94.4871,400,0
139,11,21,0,66925,54632,25927,27887,15338,81,8.408439,47.5917,-122.3272,250,1
140,3,6,0,70649,54556,3546,8239,3708,99,10.033037,32.7506,-97.0915,350,0
141,1,1,0,68239,57312,22966,20697,12004,58,9.391018,33.7565,-84.4038,250,0
142,6,11,0,70492,70351,29608,13649,6825,93,9.603284,33.9509,-118.3441,350,1
143,3,6,0,70649,56208,2810,5891,2651,110,10.033037,32.7506,-97.0915,350,0
144,1,1,0,68239,57103,23771,20418,11842,56,9.391018,33.7565,-84.4038,250,0
145,5,10,0,69045,57835,7224,6247,2811,120,8.632123,39.0491,-94.4871,400,0
146,6,11,1,70492,60896,26902,15211,7606,117,9.603284,33.9509,-118.3441,350,1
147,1,1,0,68239,56383,29589,19172,11120,75,9.391018,33.7565,-84.4038,250,0
148,9,17,0,68324,68095,33036,34260,20556,87,8.474327,39.9047,-75.1736,250,1
149,7,14,0,64478,56819,9215,8920,4014,123,8.69743,25.9549,-80.2383,350,0
150,2,3,0,64146,58657,19691,10930,7105,102,8.671598,42.0889,-71.2597,250,0
151,8,15,0,80663,69857,17651,45386,24962,77,10.438681,40.807664,-74.069833,250,0
152,1,1,0,68239,62928,27343,26445,15338,66,9.391018,33.7565,-84.4038,250,0
153,8,15,0,80663,70269,21794,38933,21413,70,10.438681,40.807664,-74.069833,250,0
154,9,17,0,68324,55627,25316,20739,12443,70,8.474327,39.9047,-75.1736,250,0
155,8,15,0,80663,69731,18080,42459,23352,65,10.438681,40.807664,-74.069833,250,0
156,3,6,0,70649,59166,10545,8022,3610,100,10.033037,32.7506,-97.0915,350,0
157,5,10,0,69045,56213,7464,6098,2744,122,8.632123,39.0491,-94.4871,400,0
158,3,6,0,70649,65712,8647,10441,4698,101,10.033037,32.7506,-97.0915,350,0
159,9,17,2,68324,60187,27913,24224,14534,84,8.474327,39.9047,-75.1736,250,1
160,8,15,1,80663,71765,19259,43557,23956,67,10.438681,40.807664,-74.069833,250,0
161,1,1,0,68239,63175,29319,29246,16963,69,9.391018,33.7565,-84.4038,250,1
162,9,17,2,68324,66193,31035,34559,20735,101,8.474327,39.9047,-75.1736,250,1
163,7,14,0,64478,51812,10128,4145,1865,110,8.69743,25.9549,-80.2383,350,0
164,10,19,1,68827,63404,35193,23652,15374,105,8.807888,37.403468,-121.974908,250,1
165,11,21,0,66925,59389,30115,33672,18520,79,8.408439,47.5917,-122.3272,250,1
166,6,11,0,70492,67603,30771,17936,8968,98,9.603284,33.9509,-118.3441,350,1
167,8,15,0,80663,68008,20118,37699,20734,61,10.438681,40.807664,-74.069833,250,0
168,3,6,0,70649,55159,9983,9071,4082,111,10.033037,32.7506,-97.0915,350,0
169,1,1,0,68239,58437,30667,22183,12866,80,9.391018,33.7565,-84.4038,250,1
170,10,19,1,68827,47166,23310,16058,10438,69,8.807888,37.403468,-121.974908,250,0
171,11,21,0,66925,54781,27816,33560,18458,65,8.408439,47.5917,-122.3272,250,1
172,3,6,1,70649,61937,7676,12575,5659,110,10.033037,32.7506,-97.0915,350,0
173,2,4,0,64146,52030,12149,17473,6116,95,8.671598,42.0916,-71.2648,300,0
174,10,19,2,68827,64987,34176,24942,16212,89,8.807888,37.403468,-121.974908,250,1
175,3,6,1,70649,58568,7294,9665,4349,95,10.033037,32.7506,-97.0915,350,0
176,8,15,0,80663,74979,21087,46258,25442,69,10.438681,40.807664,-74.069833,250,0
177,5,10,0,69045,57574,9565,4606,2073,115,8.632123,39.0491,-94.4871,400,0
178,1,1,1,68239,63054,26484,27981,16229,66,9.391018,33.7565,-84.4038,250,0
179,5,10,0,69045,52172,9145,7137,3212,110,8.632123,39.0491,-94.4871,400,0
180,4,7,0,68777,52089,17591,20705,12423,76,9.092387,29.6852,-95.407,250,0
181,2,3,1,64146,58720,16583,14678,9541,119,8.671598,42.0889,-71.2597,250,1
182,9,17,1,68324,52937,21758,21575,12945,73,8.474327,39.9047,-75.1736,250,0
183,4,7,0,68777,59370,18840,19127,11476,77,9.092387,29.6852,-95.407,250,0
184,5,10,0,69045,62802,3140,9506,4278,117,8.632123,39.0491,-94.4871,400,0
185,6,11,1,70492,64860,26373,6497,3249,103,9.603284,33.9509,-118.3441,350,0
186,4,7,0,68777,48196,17494,16623,9974,78,9.092387,29.6852,-95.407,250,0
187,7,14,0,64478,53525,8821,5894,2652,103,8.69743,25.9549,-80.2383,350,0
188,5,10,1,69045,50841,5503,6333,2850,112,8.632123,39.0491,-94.4871,400,0
189,10,19,0,68827,62859,34973,16266,10573,81,8.807888,37.403468,-121.974908,250,1
190,9,17,0,68324,65269,23244,24339,14603,71,8.474327,39.9047,-75.1736,250,1
191,11,21,0,66925,56009,25861,28695,15782,68,8.408439,47.5917,-122.3272,250,1
192,6,11,1,70492,60277,22135,8573,4287,92,9.603284,33.9509,-118.3441,350,0
193,3,6,0,70649,61280,7172,8893,4002,107,10.033037,32.7506,-97.0915,350,0
194,7,13,0,64478,57239,15110,5848,3216,118,8.69743,25.957,-80.2425,400,0
195,9,17,0,68324,64100,24779,30062,18037,95,8.474327,39.9047,-75.1736,250,1
196,6,11,0,70492,61037,24736,17083,8542,100,9.603284,33.9509,-118.3441,350,0
197,6,11,0,70492,66898,29027,12873,6437,96,9.603284,33.9509,-118.3441,350,1
198,6,11,0,70492,63236,19179,19265,9633,103,9.603284,33.9509,-118.3441,350,0
199,3,6,1,70649,61504,5833,6698,3014,103,10.033037,32.7506,-97.0915,350,0
200,1,1,0,68239,55507,27317,22696,13164,63,9.391018,33.7565,-84.4038,250,0
201,9,17,0,68324,55975,25275,22740,13644,73,8.474327,39.9047,-75.1736,250,0
202,2,3,0,64146,54202,15377,9130,5935,116,8.671598,42.0889,-71.2597,250,0
203,9,17,0,68324,61229,33781,30379,18227,89,8.474327,39.9047,-75.1736,250,1
204,2,3,2,64146,58459,15793,15577,10125,105,8.671598,42.0889,-71.2597,250,1
205,7,14,0,64478,50964,8205,4077,1835,97,8.69743,25.9549,-80.2383,350,0
206,9,17,2,68324,58401,26175,30005,18003,84,8.474327,39.9047,-75.1736,250,1
207,8,15,0,80663,65633,17786,45439,24991,63,10.438681,40.807664,-74.069833,250,0
208,11,21,1,66925,57472,28148,27312,15022,75,8.408439,47.5917,-122.3272,250,1
209,9,17,0,68324,56449,23762,22542,13525,74,8.474327,39.9047,-75.1736,250,0
210,7,14,4,64478,53333,12272,9211,4145,133,8.69743,25.9549,-80.2383,350,1
211,3,6,0,70649,57832,6478,10219,4599,94,10.033037,32.7506,-97.0915,350,0
212,10,19,1,68827,63312,30679,24228,15748,81,8.807888,37.403468,-121.974908,250,1
213,4,7,0,68777,52514,16284,19331,11599,72,9.092387,29.6852,-95.407,250,0
214,5,10,1,69045,60659,6487,13625,6131,109,8.632123,39.0491,-94.4871,400,0
215,5,10,2,69045,60103,5225,12042,5419,121,8.632123,39.0491,-94.4871,400,0
216,3,6,0,70649,63095,9760,8821,3969,114,10.033037,32.7506,-97.0915,350,0
217,7,14,3,64478,58018,14467,11484,5168,124,8.69743,25.9549,-80.2383,350,1
218,3,6,1,70649,61664,9275,6790,3056,121,10.033037,32.7506,-97.0915,350,0
219,5,10,0,69045,51823,2591,12305,5537,118,8.632123,39.0491,-94.4871,400,0
220,6,11,0,70492,62300,24135,14264,7132,115,9.603284,33.9509,-118.3441,350,1
221,9,17,0,68324,48522,21508,22987,13792,79,8.474327,39.9047,-75.1736,250,0
222,6,11,0,70492,61407,17241,9038,4519,102,9.603284,33.9509,-118.3441,350,0
223,7,13,0,64478,58044,15501,11088,6098,122,8.69743,25.957,-80.2425,400,0
224,11,21,1,66925,63594,38679,36206,19913,90,8.408439,47.5917,-122.3272,250,1
225,3,6,2,70649,66922,11989,10787,4854,131,10.033037,32.7506,-97.0915,350,1
226,3,6,3,70649,60018,5836,8408,3784,124,10.033037,32.7506,-97.0915,350,0
227,10,19,0,68827,56275,32958,18918,12297,96,8.807888,37.403468,-121.974908,250,1
228,3,6,0,70649,58690,13363,4950,2228,112,10.033037,32.7506,-97.0915,350,0
229,2,3,1,64146,59043,17440,20695,13452,97,8.671598,42.0889,-71.2597,250,1
230,7,14,0,64478,52094,8402,4168,1876,104,8.69743,25.9549,-80.2383,350,0
231,11,21,0,66925,55787,28585,27504,15127,64,8.408439,47.5917,-122.3272,250,1
232,5,10,0,69045,68862,5530,5509,2479,127,8.632123,39.0491,-94.4871,400,0
233,3,6,0,70649,61977,5154,4958,2231,108,10.033037,32.7506,-97.0915,350,0
234,11,21,2,66925,57863,30541,30005,16503,63,8.408439,47.5917,-122.3272,250,1
235,11,21,0,66925,53794,32141,25896,14243,55,8.408439,47.5917,-122.3272,250,0
236,2,4,0,64146,55038,12867,17579,6153,102,8.671598,42.0916,-71.2648,300,0
237,6,11,0,70492,55717,23817,7965,3983,90,9.603284,33.9509,-118.3441,350,0
238,8,15,1,80663,65863,20329,38371,21104,70,10.438681,40.807664,-74.069833,250,0
239,2,3,1,64146,60498,19530,20595,13387,116,8.671598,42.0889,-71.2597,250,1
240,1,1,0,68239,64779,31143,31361,18189,67,9.391018,33.7565,-84.4038,250,1
241,10,19,2,68827,68689,36798,22073,14347,84,8.807888,37.403468,-121.974908,250,1
242,6,11,0,70492,58017,21953,15500,7750,109,9.603284,33.9509,-118.3441,350,0
243,1,1,0,68239,60151,35045,25556,14822,62,9.391018,33.7565,-84.4038,250,1
244,1,1,4,68239,67046,35327,28026,16255,68,9.391018,33.7565,-84.4038,250,1
245,3,6,1,70649,59237,9184,10087,4539,120,10.033037,32.7506,-97.0915,350,0
246,10,19,0,68827,57846,36379,21182,13768,96,8.807888,37.403468,-121.974908,250,1
247,3,6,0,70649,58841,5743,8788,3955,112,10.033037,32.7506,-97.0915,350,0
248,7,14,0,64478,56768,10176,5450,2453,117,8.69743,25.9549,-80.2383,350,0
249,9,17,0,68324,52918,22265,21315,12789,75,8.474327,39.9047,-75.1736,250,0
250,9,17,0,68324,65212,32464,28520,17112,89,8.474327,39.9047,-75.1736,250,1
251,11,21,0,66925,52792,27244,35735,19654,47,8.408439,47.5917,-122.3272,250,0
252,7,14,0,64478,55890,8303,4471,2012,111,8.69743,25.9549,-80.2383,350,0
253,5,10,0,69045,59548,5830,4764,2144,129,8.632123,39.0491,-94.4871,400,0
254,5,10,2,69045,57034,9226,14229,6403,127,8.632123,39.0491,-94.4871,400,0
255,9,17,0,68324,51425,19070,25235,15141,91,8.474327,39.9047,-75.1736,250,0
256,6,11,0,70492,62768,24359,12723,6362,98,9.603284,33.9509,-118.3441,350,0
257,8,15,0,80663,79217,19889,50415,27728,76,10.438681,40.807664,-74.069833,250,1
258,5,10,1,69045,53977,10094,6952,3128,120,8.632123,39.0491,-94.4871,400,0
259,10,19,0,68827,68689,38739,29980,19487,76,8.807888,37.403468,-121.974908,250,1
260,8,15,0,80663,68520,22317,34691,19080,54,10.438681,40.807664,-74.069833,250,0
261,6,11,0,70492,63174,23459,10890,5445,117,9.603284,33.9509,-118.3441,350,0
262,5,10,1,69045,59941,9504,4795,2158,120,8.632123,39.0491,-94.4871,400,0
263,6,11,1,70492,63201,20881,13988,6994,115,9.603284,33.9509,-118.3441,350,1
264,8,16,0,80663,65812,12709,37682,16957,62,10.438681,40.81145,-74.07075,350,0
265,3,6,0,70649,48178,3606,9888,4450,91,10.033037,32.7506,-97.0915,350,0
266,7,13,1,64478,53732,15822,5085,2797,129,8.69743,25.957,-80.2425,400,0
267,9,17,0,68324,66979,31539,32482,19489,83,8.474327,39.9047,-75.1736,250,1
268,9,17,0,68324,62631,27066,22383,13430,71,8.474327,39.9047,-75.1736,250,1
269,6,11,0,70492,51383,19802,10921,5461,101,9.603284,33.9509,-118.3441,350,0
270,1,1,3,68239,52108,29154,21188,12289,73,9.391018,33.7565,-84.4038,250,0
271,3,6,1,70649,56417,4177,4513,2031,110,10.033037,32.7506,-97.0915,350,0
272,4,7,0,68777,65023,25115,28316,16990,99,9.092387,29.6852,-95.407,250,1
273,4,7,2,68777,62379,23366,30463,18278,83,9.092387,29.6852,-95.407,250,1
274,9,17,3,68324,56697,27460,28564,17138,77,8.474327,39.9047,-75.1736,250,1
275,6,11,0,70492,55350,22566,16737,8369,93,9.603284,33.9509,-118.3441,350,0
276,9,17,2,68324,58978,26284,23780,14268,96,8.474327,39.9047,-75.1736,250,1
277,3,6,1,70649,55761,8241,10783,4852,116,10.033037,32.7506,-97.0915,350,0
278,6,11,0,70492,62839,22993,16292,8146,95,9.603284,33.9509,-118.3441,350,0
279,3,6,0,70649,62501,12087,12255,5515,116,10.033037,32.7506,-97.0915,350,0
280,6,11,5,70492,62575,27526,14155,7078,122,9.603284,33.9509,-118.3441,350,1
281,7,14,0,64478,60527,14708,9738,4382,142,8.69743,25.9549,-80.2383,350,1
282,11,21,0,66925,58546,27429,34148,18781,65,8.408439,47.5917,-122.3272,250,1
283,2,3,0,64146,56737,15670,16740,10881,108,8.671598,42.0889,-71.2597,250,1
284,7,14,0,64478,60629,11259,11460,5157,123,8.69743,25.9549,-80.2383,350,0
285,8,15,2,80663,75644,20344,36729,20201,76,10.438681,40.807664,-74.069833,250,1
286,2,3,1,64146,51869,15088,7792,5065,97,8.671598,42.0889,-71.2597,250,0
287,4,7,0,68777,57331,14799,13620,8172,65,9.092387,29.6852,-95.407,250,0
288,11,21,0,66925,58881,32845,32268,17747,85,8.408439,47.5917,-122.3272,250,1
289,7,14,1,64478,50864,10425,11384,5123,111,8.69743,25.9549,-80.2383,350,0
290,10,19,0,68827,68689,38199,31912,20743,102,8.807888,37.403468,-121.974908,250,1
291,4,7,1,68777,68639,20777,23880,14328,92,9.092387,29.6852,-95.407,250,1
292,6,11,0,70492,64186,24462,8718,4359,103,9.603284,33.9509,-118.3441,350,0
293,11,21,0,66925,63778,33285,26259,14442,60,8.408439,47.5917,-122.3272,250,1
294,11,21,0,66925,54642,27228,28485,15667,74,8.408439,47.5917,-122.3272,250,0
295,10,19,0,68827,59469,38000,14997,9748,88,8.807888,37.403468,-121.974908,250,1
296,7,13,0,64478,51416,13497,7898,4344,115,8.69743,25.957,-80.2425,400,0
297,1,1,0,68239,65447,36642,19167,11117,67,9.391018,33.7565,-84.4038,250,1
298,8,15,0,80663,72356,27272,40605,22333,80,10.438681,40.807664,-74.069833,250,1
299,4,7,0,68777,57280,20120,13791,8275,76,9.092387,29.6852,-95.407,250,0
300,3,6,0,70649,56703,8109,8300,3735,88,10.033037,32.7506,-97.0915,350,0
301,6,11,0,70492,59438,29767,11427,5714,107,9.603284,33.9509,-118.3441,350,0
302,8,15,0,80663,70235,19139,43085,23697,72,10.438681,40.807664,-74.069833,250,0
303,8,16,0,80663,73249,17647,48051,21623,84,10.438681,40.81145,-74.07075,350,1
304,3,6,1,70649,62034,9597,9676,4354,98,10.033037,32.7506,-97.0915,350,0
305,1,1,2,68239,61630,35863,23503,13632,65,9.391018,33.7565,-84.4038,250,1
306,6,11,0,70492,61296,27613,19363,9682,104,9.603284,33.9509,-118.3441,350,1
