projectId,hostRegionCode,cityId,hostRegion,category,categoryName,phase,areaId,areaShortCode,exactAreaName,latitude,longitude,analysisRadiusM,geometryType,lengthM,widthM,heightM,bearingDeg,zOffsetM,colorHex,opacity,renderEnabled,designDescription,implementationStatus,spatialPrecision,evidenceClass,sourceUrl,allocationCents
atlanta-ped-TMP,1,atlanta,Atlanta,ped,Protected pedestrian corridor,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,1600,6,0.15,114,0.05,#F59E0B,0.55,No,barricaded protected corridor; marshals and lighting,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
atlanta-ped-PERM,1,atlanta,Atlanta,ped,Protected pedestrian corridor,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,1600,6,0.15,121,0.1,#0F766E,0.85,No,widened sidewalk; lighting; drainage and separation,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
atlanta-bike-TMP,1,atlanta,Atlanta,bike,Protected bicycle access,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,3200,3,0.1,131,0.05,#F59E0B,0.55,No,pop-up protected lane and attended bike valet,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
atlanta-bike-PERM,1,atlanta,Atlanta,bike,Protected bicycle access,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,3200,3,0.1,138,0.1,#0F766E,0.85,No,protected bikeway and secure long-term parking,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
atlanta-tnc-TMP,1,atlanta,Atlanta,tnc,Managed rideshare hub,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,70,45,0.2,148,0.05,#F59E0B,0.55,Yes,staffed geofenced pickup with temporary lane control,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,20000000
atlanta-tnc-PERM,1,atlanta,Atlanta,tnc,Managed rideshare hub,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,polygon_extrusion,70,45,0.2,155,0.1,#2563EB,0.85,Yes,off-street rideshare hub with accessible bays,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,20000000
atlanta-wayfinding-TMP,1,atlanta,Atlanta,wayfinding,Multilingual wayfinding,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,point_model,1,1,2.5,165,0.05,#F59E0B,0.55,Yes,portable signs; digital messages; multilingual ambassadors,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,27000000
atlanta-wayfinding-PERM,1,atlanta,Atlanta,wayfinding,Multilingual wayfinding,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,point_model,1,1,4,172,0.1,#2563EB,0.85,Yes,fixed multilingual physical and digital wayfinding,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,33000000
atlanta-station-TMP,1,atlanta,Atlanta,station,Station-capacity package,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,glb_model,120,45,6,182,0.05,#F59E0B,0.55,Yes,temporary gates; queue barriers; portable fare equipment,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,50000000
atlanta-station-PERM,1,atlanta,Atlanta,station,Station-capacity package,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,glb_model,120,45,18,189,0.1,#2563EB,0.85,Yes,"platform, entry and circulation expansion",concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,200000000
atlanta-toc-TMP,1,atlanta,Atlanta,toc,Integrated traffic operations,temporary,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,glb_model,60,40,4,199,0.05,#F59E0B,0.55,Yes,unified incident command and temporary sensor feeds,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,37500000
atlanta-toc-PERM,1,atlanta,Atlanta,toc,Integrated traffic operations,permanent,atl-sec-district,ATL-SEC,GWCC/CNN Center–Andrew Young International Boulevard approach,33.7564,-84.3986,300,glb_model,60,40,12,206,0.1,#2563EB,0.85,Yes,integrated operations center and adaptive dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mercedesbenzstadium.com/stadium-maps,112500000
atlanta-access-TMP,1,atlanta,Atlanta,access,ADA/microtransit access,temporary,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,800,3,0.1,216,0.05,#F59E0B,0.55,No,accessible shuttles; temporary ramps and staffed assistance,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
atlanta-access-PERM,1,atlanta,Atlanta,access,ADA/microtransit access,permanent,atl-vine-city,ATL-VC,Vine City Station–Northside Drive approach,33.7565,-84.4038,250,line_extrusion,800,3,0.1,223,0.1,#2563EB,0.85,No,ADA ramps; tactile guidance; accessible first/last-mile network,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.itsmarta.com/Vine-City.aspx,0
boston-service-TMP,2,boston,Boston,service,Extra transit service,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,animated_route,1500,2,0.5,58,0.05,#F59E0B,0.55,Yes,extra rail/bus vehicle-hours; standby operators; event timetable,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,132000000
boston-service-PERM,2,boston,Boston,service,Extra transit service,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,animated_route,1500,2,1,65,0.1,#2563EB,0.85,Yes,recurring major-event service plan; fleet and stabling readiness,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,33000000
boston-buslane-TMP,2,boston,Boston,buslane,Transit-priority lanes,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,line_extrusion,3200,3.5,0.1,75,0.05,#F59E0B,0.55,Yes,cone- and paint-defined bus lane with enforcement,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,64800000
boston-buslane-PERM,2,boston,Boston,buslane,Transit-priority lanes,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,line_extrusion,3200,3.5,0.1,82,0.1,#2563EB,0.85,Yes,dedicated or peak-period transit-priority lane,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,79200000
boston-signals-TMP,2,boston,Boston,signals,Signal timing plans,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,point_model,1,1,3,92,0.05,#F59E0B,0.55,Yes,police/manual traffic control and temporary timing plan,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,6750000
boston-signals-PERM,2,boston,Boston,signals,Signal timing plans,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,point_model,1,1,6,99,0.1,#2563EB,0.85,Yes,adaptive controllers and transit signal priority,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,20250000
boston-hub-TMP,2,boston,Boston,hub,Hub-to-stadium shuttle package,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,90,60,3,109,0.05,#F59E0B,0.55,Yes,pop-up shuttle zone; temporary shelters and dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,90000000
boston-hub-PERM,2,boston,Boston,hub,Hub-to-stadium shuttle package,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,90,60,6,116,0.1,#2563EB,0.85,Yes,permanent multimodal mobility hub,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,135000000
boston-parkride-TMP,2,boston,Boston,parkride,Park-and-ride package,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,220,150,0.2,126,0.05,#F59E0B,0.55,Yes,leased intercept lots and temporary signing,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,22500000
boston-parkride-PERM,2,boston,Boston,parkride,Park-and-ride package,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,220,150,0.2,133,0.1,#2563EB,0.85,Yes,permanent park-and-ride with charging and transit access,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,22500000
boston-ped-TMP,2,boston,Boston,ped,Protected pedestrian corridor,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,1600,6,0.15,143,0.05,#F59E0B,0.55,No,barricaded protected corridor; marshals and lighting,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-ped-PERM,2,boston,Boston,ped,Protected pedestrian corridor,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,1600,6,0.15,150,0.1,#0F766E,0.85,No,widened sidewalk; lighting; drainage and separation,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-bike-TMP,2,boston,Boston,bike,Protected bicycle access,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,3200,3,0.1,160,0.05,#F59E0B,0.55,No,pop-up protected lane and attended bike valet,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-bike-PERM,2,boston,Boston,bike,Protected bicycle access,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,3200,3,0.1,167,0.1,#0F766E,0.85,No,protected bikeway and secure long-term parking,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-tnc-TMP,2,boston,Boston,tnc,Managed rideshare hub,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,70,45,0.2,177,0.05,#F59E0B,0.55,Yes,staffed geofenced pickup with temporary lane control,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,40000000
boston-tnc-PERM,2,boston,Boston,tnc,Managed rideshare hub,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,polygon_extrusion,70,45,0.2,184,0.1,#2563EB,0.85,Yes,off-street rideshare hub with accessible bays,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,40000000
boston-wayfinding-TMP,2,boston,Boston,wayfinding,Multilingual wayfinding,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,point_model,1,1,2.5,194,0.05,#F59E0B,0.55,Yes,portable signs; digital messages; multilingual ambassadors,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,13500000
boston-wayfinding-PERM,2,boston,Boston,wayfinding,Multilingual wayfinding,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,point_model,1,1,4,201,0.1,#2563EB,0.85,Yes,fixed multilingual physical and digital wayfinding,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,16500000
boston-station-TMP,2,boston,Boston,station,Station-capacity package,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,glb_model,120,45,6,211,0.05,#F59E0B,0.55,No,temporary gates; queue barriers; portable fare equipment,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-station-PERM,2,boston,Boston,station,Station-capacity package,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,glb_model,120,45,18,218,0.1,#2563EB,0.85,No,"platform, entry and circulation expansion",concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-toc-TMP,2,boston,Boston,toc,Integrated traffic operations,temporary,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,glb_model,60,40,4,228,0.05,#F59E0B,0.55,Yes,unified incident command and temporary sensor feeds,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,37500000
boston-toc-PERM,2,boston,Boston,toc,Integrated traffic operations,permanent,bos-patriot-place-gate-a,BOS-GA,Patriot Place north plaza and Gate A,42.0916,-71.2648,300,glb_model,60,40,12,235,0.1,#2563EB,0.85,Yes,integrated operations center and adaptive dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.gillettestadium.com/,112500000
boston-access-TMP,2,boston,Boston,access,ADA/microtransit access,temporary,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,800,3,0.1,245,0.05,#F59E0B,0.55,No,accessible shuttles; temporary ramps and staffed assistance,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
boston-access-PERM,2,boston,Boston,access,ADA/microtransit access,permanent,bos-foxboro-station,BOS-FXR,Foxboro Station platform and stadium underpass,42.0889,-71.2597,250,line_extrusion,800,3,0.1,252,0.1,#2563EB,0.85,No,ADA ramps; tactile guidance; accessible first/last-mile network,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://www.mbta.com/stops/place-FB-0191,0
dallas-service-TMP,3,dallas,Dallas,service,Extra transit service,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,animated_route,1500,2,0.5,87,0.05,#F59E0B,0.55,Yes,extra rail/bus vehicle-hours; standby operators; event timetable,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,176000000
dallas-service-PERM,3,dallas,Dallas,service,Extra transit service,permanent,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,animated_route,1500,2,1,94,0.1,#2563EB,0.85,Yes,recurring major-event service plan; fleet and stabling readiness,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,44000000
dallas-buslane-TMP,3,dallas,Dallas,buslane,Transit-priority lanes,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,line_extrusion,3200,3.5,0.1,104,0.05,#F59E0B,0.55,Yes,cone- and paint-defined bus lane with enforcement,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,64800000
dallas-buslane-PERM,3,dallas,Dallas,buslane,Transit-priority lanes,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,line_extrusion,3200,3.5,0.1,111,0.1,#2563EB,0.85,Yes,dedicated or peak-period transit-priority lane,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,79200000
dallas-signals-TMP,3,dallas,Dallas,signals,Signal timing plans,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,point_model,1,1,3,121,0.05,#F59E0B,0.55,Yes,police/manual traffic control and temporary timing plan,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,9000000
dallas-signals-PERM,3,dallas,Dallas,signals,Signal timing plans,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,point_model,1,1,6,128,0.1,#2563EB,0.85,Yes,adaptive controllers and transit signal priority,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,27000000
dallas-hub-TMP,3,dallas,Dallas,hub,Hub-to-stadium shuttle package,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,90,60,3,138,0.05,#F59E0B,0.55,Yes,pop-up shuttle zone; temporary shelters and dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,90000000
dallas-hub-PERM,3,dallas,Dallas,hub,Hub-to-stadium shuttle package,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,90,60,6,145,0.1,#2563EB,0.85,Yes,permanent multimodal mobility hub,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,135000000
dallas-parkride-TMP,3,dallas,Dallas,parkride,Park-and-ride package,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,220,150,0.2,155,0.05,#F59E0B,0.55,Yes,leased intercept lots and temporary signing,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,45000000
dallas-parkride-PERM,3,dallas,Dallas,parkride,Park-and-ride package,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,220,150,0.2,162,0.1,#2563EB,0.85,Yes,permanent park-and-ride with charging and transit access,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,45000000
dallas-ped-TMP,3,dallas,Dallas,ped,Protected pedestrian corridor,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,line_extrusion,1600,6,0.15,172,0.05,#F59E0B,0.55,No,barricaded protected corridor; marshals and lighting,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-ped-PERM,3,dallas,Dallas,ped,Protected pedestrian corridor,permanent,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,line_extrusion,1600,6,0.15,179,0.1,#0F766E,0.85,No,widened sidewalk; lighting; drainage and separation,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-bike-TMP,3,dallas,Dallas,bike,Protected bicycle access,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,line_extrusion,3200,3,0.1,189,0.05,#F59E0B,0.55,No,pop-up protected lane and attended bike valet,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-bike-PERM,3,dallas,Dallas,bike,Protected bicycle access,permanent,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,line_extrusion,3200,3,0.1,196,0.1,#0F766E,0.85,No,protected bikeway and secure long-term parking,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-tnc-TMP,3,dallas,Dallas,tnc,Managed rideshare hub,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,70,45,0.2,206,0.05,#F59E0B,0.55,Yes,staffed geofenced pickup with temporary lane control,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,60000000
dallas-tnc-PERM,3,dallas,Dallas,tnc,Managed rideshare hub,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,polygon_extrusion,70,45,0.2,213,0.1,#2563EB,0.85,Yes,off-street rideshare hub with accessible bays,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,60000000
dallas-wayfinding-TMP,3,dallas,Dallas,wayfinding,Multilingual wayfinding,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,point_model,1,1,2.5,223,0.05,#F59E0B,0.55,No,portable signs; digital messages; multilingual ambassadors,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-wayfinding-PERM,3,dallas,Dallas,wayfinding,Multilingual wayfinding,permanent,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,point_model,1,1,4,230,0.1,#2563EB,0.85,No,fixed multilingual physical and digital wayfinding,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-station-TMP,3,dallas,Dallas,station,Station-capacity package,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,glb_model,120,45,6,240,0.05,#F59E0B,0.55,No,temporary gates; queue barriers; portable fare equipment,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-station-PERM,3,dallas,Dallas,station,Station-capacity package,permanent,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,glb_model,120,45,18,247,0.1,#2563EB,0.85,No,"platform, entry and circulation expansion",concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
dallas-toc-TMP,3,dallas,Dallas,toc,Integrated traffic operations,temporary,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,glb_model,60,40,4,257,0.05,#F59E0B,0.55,Yes,unified incident command and temporary sensor feeds,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,37500000
dallas-toc-PERM,3,dallas,Dallas,toc,Integrated traffic operations,permanent,dal-miller-litehouse,DAL-MLH,Miller LiteHouse pickup at North Collins Street and Cowboys Way,32.7506,-97.0915,350,glb_model,60,40,12,264,0.1,#2563EB,0.85,Yes,integrated operations center and adaptive dispatch,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,112500000
dallas-access-TMP,3,dallas,Dallas,access,ADA/microtransit access,temporary,dal-att-way-east-plaza,DAL-EPL,AT&T Way east plaza approach,32.7479,-97.0909,300,line_extrusion,800,3,0.1,274,0.05,#F59E0B,0.55,No,accessible shuttles; temporary ramps and staffed assistance,concept_only,planning_anchor ±25–100 m,engineering_assumption,https://attstadium.com/stadium-info/parking/,0
