HostRegionCode,MatchStageCode,StadiumCapacity,TicketHolders,TransitPassengers,PedestrianVolume,EgressMinutes,FTAFundingMillions,Outcome
1,0,68239,57954,24173,16216,60,9.391018,0
1,0,68239,60891,32524,18671,59,9.391018,0
10,1,68827,61861,32993,22511,85,8.807888,1
10,0,68827,61830,31182,24039,92,8.807888,1
4,1,68777,58118,19422,20205,85,9.092387,0
10,0,68827,48527,25638,16141,70,8.807888,0
10,0,68827,63185,36306,27795,99,8.807888,1
9,0,68324,56223,22018,27545,84,8.474327,1
10,1,68827,59624,40529,23292,101,8.807888,1
8,0,80663,71549,19383,47993,64,10.438681,0
4,0,68777,57670,20755,20680,68,9.092387,0
8,0,80663,70793,21338,45547,80,10.438681,0
1,1,68239,56754,25194,20629,66,9.391018,0
2,0,64146,62246,10388,16809,108,8.671598,0
7,1,64478,50278,10602,4022,129,8.697430,0
5,0,69045,57623,7306,6188,124,8.632123,0
11,0,66925,54632,25927,27887,81,8.408439,1
3,0,70649,54556,3546,8239,99,10.033037,0
1,0,68239,57312,22966,20697,58,9.391018,0
6,0,70492,70351,29608,13649,93,9.603284,1
3,0,70649,56208,2810,5891,110,10.033037,0
1,0,68239,57103,23771,20418,56,9.391018,0
5,0,69045,57835,7224,6247,120,8.632123,0
6,1,70492,60896,26902,15211,117,9.603284,1
1,0,68239,56383,29589,19172,75,9.391018,0
9,0,68324,68095,33036,34260,87,8.474327,1
7,0,64478,56819,9215,8920,123,8.697430,0
2,0,64146,58657,19691,10930,102,8.671598,0
8,0,80663,69857,17651,45386,77,10.438681,0
1,0,68239,62928,27343,26445,66,9.391018,0
8,0,80663,70269,21794,38933,70,10.438681,0
9,0,68324,55627,25316,20739,70,8.474327,0
8,0,80663,69731,18080,42459,65,10.438681,0
3,0,70649,59166,10545,8022,100,10.033037,0
5,0,69045,56213,7464,6098,122,8.632123,0
3,0,70649,65712,8647,10441,101,10.033037,0
9,2,68324,60187,27913,24224,84,8.474327,1
8,1,80663,71765,19259,43557,67,10.438681,0
1,0,68239,63175,29319,29246,69,9.391018,1
9,2,68324,66193,31035,34559,101,8.474327,1
7,0,64478,51812,10128,4145,110,8.697430,0
10,1,68827,63404,35193,23652,105,8.807888,1
11,0,66925,59389,30115,33672,79,8.408439,1
6,0,70492,67603,30771,17936,98,9.603284,1
8,0,80663,68008,20118,37699,61,10.438681,0
3,0,70649,55159,9983,9071,111,10.033037,0
1,0,68239,58437,30667,22183,80,9.391018,1
10,1,68827,47166,23310,16058,69,8.807888,0
11,0,66925,54781,27816,33560,65,8.408439,1
3,1,70649,61937,7676,12575,110,10.033037,0
2,0,64146,52030,12149,17473,95,8.671598,0
10,2,68827,64987,34176,24942,89,8.807888,1
3,1,70649,58568,7294,9665,95,10.033037,0
8,0,80663,74979,21087,46258,69,10.438681,0
5,0,69045,57574,9565,4606,115,8.632123,0
1,1,68239,63054,26484,27981,66,9.391018,0
5,0,69045,52172,9145,7137,110,8.632123,0
4,0,68777,52089,17591,20705,76,9.092387,0
2,1,64146,58720,16583,14678,119,8.671598,1
9,1,68324,52937,21758,21575,73,8.474327,0
4,0,68777,59370,18840,19127,77,9.092387,0
5,0,69045,62802,3140,9506,117,8.632123,0
6,1,70492,64860,26373,6497,103,9.603284,0
4,0,68777,48196,17494,16623,78,9.092387,0
7,0,64478,53525,8821,5894,103,8.697430,0
5,1,69045,50841,5503,6333,112,8.632123,0
10,0,68827,62859,34973,16266,81,8.807888,1
9,0,68324,65269,23244,24339,71,8.474327,1
11,0,66925,56009,25861,28695,68,8.408439,1
6,1,70492,60277,22135,8573,92,9.603284,0
3,0,70649,61280,7172,8893,107,10.033037,0
7,0,64478,57239,15110,5848,118,8.697430,0
9,0,68324,64100,24779,30062,95,8.474327,1
6,0,70492,61037,24736,17083,100,9.603284,0
6,0,70492,66898,29027,12873,96,9.603284,1
6,0,70492,63236,19179,19265,103,9.603284,0
3,1,70649,61504,5833,6698,103,10.033037,0
1,0,68239,55507,27317,22696,63,9.391018,0
9,0,68324,55975,25275,22740,73,8.474327,0
2,0,64146,54202,15377,9130,116,8.671598,0
9,0,68324,61229,33781,30379,89,8.474327,1
2,2,64146,58459,15793,15577,105,8.671598,1
7,0,64478,50964,8205,4077,97,8.697430,0
9,2,68324,58401,26175,30005,84,8.474327,1
8,0,80663,65633,17786,45439,63,10.438681,0
11,1,66925,57472,28148,27312,75,8.408439,1
9,0,68324,56449,23762,22542,74,8.474327,0
7,4,64478,53333,12272,9211,133,8.697430,1
3,0,70649,57832,6478,10219,94,10.033037,0
10,1,68827,63312,30679,24228,81,8.807888,1
4,0,68777,52514,16284,19331,72,9.092387,0
5,1,69045,60659,6487,13625,109,8.632123,0
5,2,69045,60103,5225,12042,121,8.632123,0
3,0,70649,63095,9760,8821,114,10.033037,0
7,3,64478,58018,14467,11484,124,8.697430,1
3,1,70649,61664,9275,6790,121,10.033037,0
5,0,69045,51823,2591,12305,118,8.632123,0
6,0,70492,62300,24135,14264,115,9.603284,1
9,0,68324,48522,21508,22987,79,8.474327,0
6,0,70492,61407,17241,9038,102,9.603284,0
7,0,64478,58044,15501,11088,122,8.697430,0
11,1,66925,63594,38679,36206,90,8.408439,1
3,2,70649,66922,11989,10787,131,10.033037,1
3,3,70649,60018,5836,8408,124,10.033037,0
10,0,68827,56275,32958,18918,96,8.807888,1
3,0,70649,58690,13363,4950,112,10.033037,0
2,1,64146,59043,17440,20695,97,8.671598,1
7,0,64478,52094,8402,4168,104,8.697430,0
11,0,66925,55787,28585,27504,64,8.408439,1
5,0,69045,68862,5530,5509,127,8.632123,0
3,0,70649,61977,5154,4958,108,10.033037,0
11,2,66925,57863,30541,30005,63,8.408439,1
11,0,66925,53794,32141,25896,55,8.408439,0
2,0,64146,55038,12867,17579,102,8.671598,0
6,0,70492,55717,23817,7965,90,9.603284,0
8,1,80663,65863,20329,38371,70,10.438681,0
2,1,64146,60498,19530,20595,116,8.671598,1
1,0,68239,64779,31143,31361,67,9.391018,1
10,2,68827,68689,36798,22073,84,8.807888,1
6,0,70492,58017,21953,15500,109,9.603284,0
1,0,68239,60151,35045,25556,62,9.391018,1
1,4,68239,67046,35327,28026,68,9.391018,1
3,1,70649,59237,9184,10087,120,10.033037,0
10,0,68827,57846,36379,21182,96,8.807888,1
3,0,70649,58841,5743,8788,112,10.033037,0
7,0,64478,56768,10176,5450,117,8.697430,0
9,0,68324,52918,22265,21315,75,8.474327,0
9,0,68324,65212,32464,28520,89,8.474327,1
11,0,66925,52792,27244,35735,47,8.408439,0
7,0,64478,55890,8303,4471,111,8.697430,0
5,0,69045,59548,5830,4764,129,8.632123,0
5,2,69045,57034,9226,14229,127,8.632123,0
9,0,68324,51425,19070,25235,91,8.474327,0
6,0,70492,62768,24359,12723,98,9.603284,0
8,0,80663,79217,19889,50415,76,10.438681,1
5,1,69045,53977,10094,6952,120,8.632123,0
10,0,68827,68689,38739,29980,76,8.807888,1
8,0,80663,68520,22317,34691,54,10.438681,0
6,0,70492,63174,23459,10890,117,9.603284,0
5,1,69045,59941,9504,4795,120,8.632123,0
6,1,70492,63201,20881,13988,115,9.603284,1
8,0,80663,65812,12709,37682,62,10.438681,0
3,0,70649,48178,3606,9888,91,10.033037,0
7,1,64478,53732,15822,5085,129,8.697430,0
9,0,68324,66979,31539,32482,83,8.474327,1
9,0,68324,62631,27066,22383,71,8.474327,1
6,0,70492,51383,19802,10921,101,9.603284,0
1,3,68239,52108,29154,21188,73,9.391018,0
3,1,70649,56417,4177,4513,110,10.033037,0
4,0,68777,65023,25115,28316,99,9.092387,1
4,2,68777,62379,23366,30463,83,9.092387,1
9,3,68324,56697,27460,28564,77,8.474327,1
6,0,70492,55350,22566,16737,93,9.603284,0
9,2,68324,58978,26284,23780,96,8.474327,1
3,1,70649,55761,8241,10783,116,10.033037,0
6,0,70492,62839,22993,16292,95,9.603284,0
3,0,70649,62501,12087,12255,116,10.033037,0
6,5,70492,62575,27526,14155,122,9.603284,1
7,0,64478,60527,14708,9738,142,8.697430,1
11,0,66925,58546,27429,34148,65,8.408439,1
2,0,64146,56737,15670,16740,108,8.671598,1
7,0,64478,60629,11259,11460,123,8.697430,0
8,2,80663,75644,20344,36729,76,10.438681,1
2,1,64146,51869,15088,7792,97,8.671598,0
4,0,68777,57331,14799,13620,65,9.092387,0
11,0,66925,58881,32845,32268,85,8.408439,1
7,1,64478,50864,10425,11384,111,8.697430,0
10,0,68827,68689,38199,31912,102,8.807888,1
4,1,68777,68639,20777,23880,92,9.092387,1
6,0,70492,64186,24462,8718,103,9.603284,0
11,0,66925,63778,33285,26259,60,8.408439,1
11,0,66925,54642,27228,28485,74,8.408439,0
10,0,68827,59469,38000,14997,88,8.807888,1
7,0,64478,51416,13497,7898,115,8.697430,0
1,0,68239,65447,36642,19167,67,9.391018,1
8,0,80663,72356,27272,40605,80,10.438681,1
4,0,68777,57280,20120,13791,76,9.092387,0
3,0,70649,56703,8109,8300,88,10.033037,0
6,0,70492,59438,29767,11427,107,9.603284,0
8,0,80663,70235,19139,43085,72,10.438681,0
8,0,80663,73249,17647,48051,84,10.438681,1
3,1,70649,62034,9597,9676,98,10.033037,0
1,2,68239,61630,35863,23503,65,9.391018,1
6,0,70492,61296,27613,19363,104,9.603284,1
3,3,70649,67024,13396,14714,129,10.033037,1
10,0,68827,44007,20695,11049,82,8.807888,0
1,2,68239,67729,32170,26305,72,9.391018,1
4,0,68777,52382,17426,16809,89,9.092387,0
9,0,68324,53904,23930,18866,76,8.474327,0
5,0,69045,59927,3025,6659,104,8.632123,0
5,2,69045,60580,12658,4846,120,8.632123,0
8,0,80663,72824,18774,41437,64,10.438681,0
3,0,70649,58197,5392,4656,108,10.033037,0
11,0,66925,60936,30613,36990,78,8.408439,1
4,0,68777,53937,14069,11264,80,9.092387,0
11,1,66925,64931,35891,32996,69,8.408439,1
10,2,68827,64273,36684,28039,97,8.807888,1
3,1,70649,59001,3478,7977,116,10.033037,0
5,4,69045,68907,13272,14100,134,8.632123,1
8,2,80663,62043,22334,35077,61,10.438681,0
1,2,68239,54893,30487,21482,69,9.391018,0
7,0,64478,53120,11761,7121,129,8.697430,0
4,0,68777,62204,18899,25854,94,9.092387,1
4,0,68777,52724,16303,17516,86,9.092387,0
8,2,80663,73205,22929,51427,72,10.438681,1
2,0,64146,54221,15201,12838,108,8.671598,0
7,0,64478,48354,8602,9563,113,8.697430,0
6,0,70492,60619,16332,11925,104,9.603284,0
10,0,68827,55289,34800,21527,86,8.807888,1
1,2,68239,54590,26497,23076,52,9.391018,0
2,1,64146,48982,14235,6509,101,8.671598,0
8,0,80663,68852,12729,41038,80,10.438681,0
11,0,66925,51017,27709,28390,68,8.408439,0
6,0,70492,54543,17646,11932,94,9.603284,0
2,0,64146,64018,19869,17800,106,8.671598,1
4,0,68777,56241,17282,16568,67,9.092387,0
4,0,68777,64561,22061,17246,62,9.092387,0
1,0,68239,63512,27474,24301,70,9.391018,0
2,0,64146,63055,14223,14836,98,8.671598,0
9,0,68324,63660,32201,29026,85,8.474327,1
4,1,68777,60533,19279,18610,68,9.092387,0
5,2,69045,67903,13696,12779,127,8.632123,1
2,1,64146,58590,18833,7702,101,8.671598,0
6,0,70492,60140,22805,15224,104,9.603284,0
3,0,70649,62646,3132,7818,117,10.033037,0
6,0,70492,59664,23214,10618,107,9.603284,0
3,0,70649,60325,6069,14513,122,10.033037,0
11,0,66925,58126,27739,27851,66,8.408439,1
9,0,68324,61388,26494,25872,81,8.474327,1
7,0,64478,56224,11297,8963,126,8.697430,0
7,1,64478,61402,17619,10004,132,8.697430,1
8,0,80663,71305,21007,47904,66,10.438681,0
6,0,70492,57386,19962,14302,107,9.603284,0
9,0,68324,63183,28962,28620,75,8.474327,1
7,0,64478,47854,9326,6588,119,8.697430,0
5,0,69045,66997,4928,7016,127,8.632123,0
2,0,64146,51903,13969,6904,101,8.671598,0
9,0,68324,65208,32691,31887,79,8.474327,1
10,0,68827,58986,34996,22259,100,8.807888,1
7,0,64478,51951,14661,8755,123,8.697430,0
11,2,66925,59921,29765,31471,83,8.408439,1
7,0,64478,53248,14687,6397,121,8.697430,0
4,1,68777,56876,19903,9846,98,9.092387,0
5,0,69045,59607,4034,9682,94,8.632123,0
10,0,68827,53429,28898,18766,92,8.807888,0
1,3,68239,62886,30924,22091,72,9.391018,1
8,0,80663,66621,17949,41279,67,10.438681,0
6,0,70492,67583,25297,16675,110,9.603284,1
2,0,64146,52114,15029,15260,89,8.671598,0
2,0,64146,56281,19897,11154,117,8.671598,0
2,0,64146,58351,17358,9108,87,8.671598,0
11,0,66925,63666,36363,36886,72,8.408439,1
6,0,70492,63472,20777,17335,129,9.603284,1
10,2,68827,63415,34731,26509,94,8.807888,1
8,0,80663,67229,27208,39876,73,10.438681,0
2,4,64146,54418,17868,15063,109,8.671598,1
5,1,69045,64849,8297,5188,127,8.632123,0
2,1,64146,48696,12130,10181,97,8.671598,0
9,0,68324,51288,21920,27155,75,8.474327,0
5,0,69045,62133,3107,4971,108,8.632123,0
11,0,66925,60525,32613,28857,78,8.408439,1
4,1,68777,50822,17589,20532,93,9.092387,0
11,0,66925,55892,31803,30115,60,8.408439,1
6,0,70492,60275,20950,8094,106,9.603284,0
9,0,68324,61467,29425,31907,89,8.474327,1
6,0,70492,60782,23966,10586,117,9.603284,0
8,1,80663,60633,17199,39819,64,10.438681,0
9,0,68324,63782,31600,26588,87,8.474327,1
7,0,64478,52761,11281,4221,126,8.697430,0
6,0,70492,64049,26520,19530,98,9.603284,0
9,1,68324,60099,27231,27642,83,8.474327,1
8,0,80663,69361,19349,40805,68,10.438681,0
7,0,64478,53778,10752,5771,119,8.697430,0
5,0,69045,55962,4662,5792,121,8.632123,0
5,2,69045,60570,4573,9183,122,8.632123,0
5,0,69045,58820,5847,5347,121,8.632123,0
7,0,64478,62436,14488,10229,129,8.697430,1
5,0,69045,56078,7194,10751,118,8.632123,0
3,5,70649,69621,20100,15886,145,10.033037,1
3,1,70649,57603,5134,6745,108,10.033037,0
8,1,80663,75929,27458,48950,73,10.438681,1
4,1,68777,54352,16505,15316,79,9.092387,0
2,1,64146,52942,13749,11612,106,8.671598,0
3,2,70649,55029,5389,11347,110,10.033037,0
11,0,66925,63235,31999,37409,68,8.408439,1
2,1,64146,54173,14164,9403,103,8.671598,0
8,0,80663,69712,18327,37402,73,10.438681,0
1,0,68239,60300,31592,16518,56,9.391018,0
2,0,64146,51137,11979,13300,105,8.671598,0
11,2,66925,62163,32867,31697,75,8.408439,1
2,0,64146,44621,11623,10500,85,8.671598,0
4,0,68777,66928,22500,26200,82,9.092387,1
1,0,68239,57215,21391,21306,45,9.391018,0
9,0,68324,60774,27992,24423,78,8.474327,1
6,3,70492,70351,31342,21451,123,9.603284,1
8,0,80663,69391,26899,37503,69,10.438681,0
3,0,70649,64437,9144,8413,104,10.033037,0
3,3,70649,53254,4269,4260,107,10.033037,0
11,1,66925,55129,32616,26683,62,8.408439,1
6,0,70492,62852,23960,16562,112,9.603284,1
3,1,70649,65750,3288,13868,110,10.033037,0
3,0,70649,47215,5902,5865,85,10.033037,0
9,0,68324,47966,19737,15596,76,8.474327,0
6,3,70492,70351,30928,19504,109,9.603284,1
8,0,80663,73950,24205,46843,61,10.438681,0
4,0,68777,56373,10924,28166,83,9.092387,0
8,0,80663,69724,19746,39182,73,10.438681,0
6,0,70492,60124,26306,8208,100,9.603284,0
1,4,68239,61914,28526,23775,85,9.391018,1
4,4,68777,62924,19761,22319,97,9.092387,1
6,1,70492,64539,27321,15340,112,9.603284,1
11,0,66925,56217,24637,29353,55,8.408439,0
2,0,64146,55484,15381,16237,88,8.671598,0
10,1,68827,60129,33542,31676,76,8.807888,1
4,0,68777,53390,17823,9673,72,9.092387,0
2,0,64146,53068,15482,13078,88,8.671598,0
10,1,68827,59880,34475,24411,87,8.807888,1
6,2,70492,69541,23586,18957,111,9.603284,1
4,0,68777,55520,20490,15721,84,9.092387,0
9,0,68324,56376,25665,27556,76,8.474327,0
10,3,68827,63317,40607,22441,104,8.807888,1
6,3,70492,67870,31460,18650,109,9.603284,1
7,0,64478,60597,10516,9469,118,8.697430,0
4,0,68777,58023,19823,16412,62,9.092387,0
7,0,64478,56821,6702,16235,119,8.697430,0
1,0,68239,64060,26875,21441,53,9.391018,0
8,2,80663,75184,22549,46953,67,10.438681,1
7,0,64478,58807,18328,15913,126,8.697430,1
5,0,69045,60890,9699,5375,111,8.632123,0
11,0,66925,61115,31112,34281,62,8.408439,1
1,0,68239,62120,22396,23076,75,9.391018,0
10,0,68827,60201,28119,17084,79,8.807888,0
4,1,68777,59865,14610,20538,82,9.092387,0
8,0,80663,69362,23126,44365,67,10.438681,0
1,0,68239,67267,35467,20616,79,9.391018,1
8,0,80663,70436,19497,38890,71,10.438681,0
10,0,68827,56135,26781,22083,92,8.807888,1
2,0,64146,53242,8418,12588,106,8.671598,0
8,0,80663,64589,17126,40429,55,10.438681,0
4,0,68777,66410,21451,19704,87,9.092387,0
11,0,66925,66170,34869,39106,78,8.408439,1
2,0,64146,59563,19040,12072,108,8.671598,1
8,1,80663,71510,23502,42567,72,10.438681,0
5,0,69045,61759,3311,4941,124,8.632123,0
3,0,70649,56535,4011,10201,114,10.033037,0
2,1,64146,56684,14742,11568,105,8.671598,0
9,0,68324,56866,28146,23435,90,8.474327,1
2,0,64146,54095,11074,12538,103,8.671598,0
6,0,70492,64101,21006,12391,100,9.603284,0
8,0,80663,69316,19906,39152,69,10.438681,0
11,0,66925,58842,32512,33018,68,8.408439,1
6,0,70492,66357,28606,9621,112,9.603284,1
6,0,70492,64655,24900,22498,119,9.603284,1
6,0,70492,63763,24239,13554,112,9.603284,1
5,0,69045,56549,7853,11906,106,8.632123,0
1,3,68239,61192,32460,19049,66,9.391018,1
5,3,69045,57271,7098,10799,118,8.632123,0
5,0,69045,57834,2892,9421,118,8.632123,0
9,0,68324,62473,28059,29515,77,8.474327,1
10,0,68827,64945,37893,22039,98,8.807888,1
1,0,68239,56202,31752,20142,64,9.391018,0
6,1,70492,63563,29570,16051,106,9.603284,1
1,0,68239,54620,32095,15760,59,9.391018,0
11,2,66925,56292,29420,30655,68,8.408439,1
7,2,64478,61737,15198,10629,138,8.697430,1
9,0,68324,51665,22522,26702,91,8.474327,0
8,0,80663,63456,21677,35803,69,10.438681,0
11,0,66925,61879,32627,34202,71,8.408439,1
8,0,80663,68048,15464,39350,59,10.438681,0
4,0,68777,56944,19421,14886,71,9.092387,0
3,1,70649,67439,10620,13372,121,10.033037,1
9,2,68324,57221,29965,27816,79,8.474327,1
8,0,80663,64201,21909,37019,62,10.438681,0
8,0,80663,66401,20613,40618,73,10.438681,0
9,0,68324,55729,25265,21675,74,8.474327,0
11,0,66925,50220,26021,23072,76,8.408439,0
11,1,66925,58220,33989,27564,64,8.408439,1
4,1,68777,64873,19060,20340,81,9.092387,1
6,1,70492,61991,30133,12907,118,9.603284,1
4,5,68777,64108,29707,23143,101,9.092387,1
2,0,64146,47038,7794,8549,92,8.671598,0
8,0,80663,68594,17255,34240,61,10.438681,0
4,0,68777,57240,18604,17611,85,9.092387,0
6,4,70492,65274,33289,12256,131,9.603284,1
8,0,80663,68369,19890,39888,70,10.438681,0
3,1,70649,60772,6018,9610,133,10.033037,0
7,1,64478,53621,10785,8973,131,8.697430,0
6,1,70492,59053,21328,13119,97,9.603284,0
1,0,68239,59182,28588,28817,84,9.391018,1
6,2,70492,69029,29370,20105,118,9.603284,1
7,0,64478,56581,13615,13459,133,8.697430,1
2,0,64146,54334,13093,8090,98,8.671598,0
9,0,68324,57531,24537,25871,81,8.474327,1
3,0,70649,64606,14246,8953,114,10.033037,0
5,3,69045,59786,6254,12613,115,8.632123,0
8,0,80663,64672,20963,39701,82,10.438681,0
5,0,69045,54729,3340,7863,115,8.632123,0
1,5,68239,68103,40171,31262,74,9.391018,1
10,0,68827,57142,34367,24767,89,8.807888,1
8,0,80663,66427,18860,47854,57,10.438681,0
7,0,64478,54948,11874,9784,128,8.697430,0
8,2,80663,65567,25145,35095,60,10.438681,0
10,1,68827,60233,34792,21163,97,8.807888,1
2,1,64146,57219,10926,14472,100,8.671598,0
8,0,80663,74457,23602,46282,81,10.438681,1
9,0,68324,59752,26839,28971,94,8.474327,1
9,0,68324,58384,30545,27706,86,8.474327,1
7,1,64478,54526,11376,11472,115,8.697430,0
3,2,70649,70508,19226,15134,114,10.033037,1
7,0,64478,54352,15162,12397,122,8.697430,1
3,4,70649,70508,9269,15026,141,10.033037,1
4,2,68777,51849,17204,5712,77,9.092387,0
6,2,70492,68113,34019,14554,118,9.603284,1
1,1,68239,59864,28435,24764,68,9.391018,0
4,0,68777,56594,17256,19360,69,9.092387,0
2,0,64146,49121,10774,10858,113,8.671598,0
1,1,68239,62145,33627,27959,89,9.391018,1
2,0,64146,52648,14482,12555,97,8.671598,0
11,2,66925,60123,32518,33605,78,8.408439,1
7,0,64478,50737,13727,4059,106,8.697430,0
8,0,80663,78337,26818,47657,71,10.438681,1
6,1,70492,69283,23472,17888,110,9.603284,1
8,0,80663,75373,23254,53610,71,10.438681,1
7,2,64478,47796,13886,4135,124,8.697430,0
7,0,64478,59182,15470,4735,128,8.697430,0
3,1,70649,62496,8849,7878,113,10.033037,0
10,2,68827,62377,35863,24259,87,8.807888,1
4,0,68777,63188,20090,21152,91,9.092387,0
7,0,64478,56518,17446,11452,122,8.697430,0
11,0,66925,56118,26305,27273,65,8.408439,0
4,0,68777,62982,22087,14993,68,9.092387,0
1,0,68239,54279,22547,24946,61,9.391018,0
