hostRegionCode,cityId,hostRegion,category,categoryName,selectedUnits,decisionUnit,temporaryShare,shareOfHostBudget,temporaryFix,permanentFix,usefulLifeYears,evidenceClass,fundingSourceId,sourceUrl,officialHostBudgetCents,typicalUnitCostCents,modeledCategoryAllocationCents,temporaryAllocationCents,permanentAllocationCents
1,atlanta,Atlanta,toc,Integrated traffic operations,2,city package,0.25,0.15972709241958646,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,75000000,150000000,37500000,112500000
1,atlanta,Atlanta,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,50000000,0,0,0
1,atlanta,Atlanta,reserve,Unassigned program reserve,1,residual,0,0.00010840145338875935,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,939101800,,101800,0,0
2,boston,Boston,service,Extra transit service,3,"2,500 vehicle-hours",0.8,0.19027634814252228,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,55000000,165000000,132000000,33000000
2,boston,Boston,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.16605935837892855,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,36000000,144000000,64800000,79200000
2,boston,Boston,signals,Signal timing plans,3,20 intersections,0.25,0.031136129696049102,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,9000000,27000000,6750000,20250000
2,boston,Boston,hub,Hub-to-stadium shuttle package,3,1 hub package,0.4,0.25946774746707585,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,75000000,225000000,90000000,135000000
2,boston,Boston,parkride,Park-and-ride package,1,500 spaces,0.5,0.05189354949341517,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,45000000,45000000,22500000,22500000
2,boston,Boston,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,60000000,0,0,0
2,boston,Boston,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,65000000,0,0,0
2,boston,Boston,tnc,Managed rideshare hub,2,1 staffed hub,0.5,0.09225519909940474,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,40000000,80000000,40000000,40000000
2,boston,Boston,wayfinding,Multilingual wayfinding,1,city package,0.45,0.03459569966227678,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,30000000,30000000,13500000,16500000
2,boston,Boston,station,Station-capacity package,0,1 station,0.2,0,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,125000000,0,0,0
2,boston,Boston,toc,Integrated traffic operations,2,city package,0.25,0.1729784983113839,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,75000000,150000000,37500000,112500000
2,boston,Boston,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,50000000,0,0,0
2,boston,Boston,reserve,Unassigned program reserve,1,residual,0,0.0013374697489436202,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,867159800,,1159800,0,0
3,dallas,Dallas,service,Extra transit service,4,"2,500 vehicle-hours",0.8,0.21927557926876975,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,55000000,220000000,176000000,44000000
3,dallas,Dallas,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.14352583370319474,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,36000000,144000000,64800000,79200000
3,dallas,Dallas,signals,Signal timing plans,4,20 intersections,0.25,0.035881458425798686,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,9000000,36000000,9000000,27000000
3,dallas,Dallas,hub,Hub-to-stadium shuttle package,3,1 hub package,0.4,0.2242591151612418,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,75000000,225000000,90000000,135000000
3,dallas,Dallas,parkride,Park-and-ride package,2,500 spaces,0.5,0.08970364606449673,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,45000000,90000000,45000000,45000000
3,dallas,Dallas,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,60000000,0,0,0
3,dallas,Dallas,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,65000000,0,0,0
3,dallas,Dallas,tnc,Managed rideshare hub,3,1 staffed hub,0.5,0.11960486141932897,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,40000000,120000000,60000000,60000000
3,dallas,Dallas,wayfinding,Multilingual wayfinding,0,city package,0.45,0,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,30000000,0,0,0
3,dallas,Dallas,station,Station-capacity package,0,1 station,0.2,0,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,125000000,0,0,0
3,dallas,Dallas,toc,Integrated traffic operations,2,city package,0.25,0.1495060767741612,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,75000000,150000000,37500000,112500000
3,dallas,Dallas,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,50000000,0,0,0
3,dallas,Dallas,reserve,Unassigned program reserve,1,residual,0,0.018243429183008097,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,1003303700,,18303700,0,0
4,houston,Houston,service,Extra transit service,2,"2,500 vehicle-hours",0.8,0.1209803322273898,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,55000000,110000000,88000000,22000000
4,houston,Houston,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.15837425309767392,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,36000000,144000000,64800000,79200000
4,houston,Houston,signals,Signal timing plans,4,20 intersections,0.25,0.03959356327441848,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,9000000,36000000,9000000,27000000
4,houston,Houston,hub,Hub-to-stadium shuttle package,2,1 hub package,0.4,0.164973180310077,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,75000000,150000000,60000000,90000000
4,houston,Houston,parkride,Park-and-ride package,1,500 spaces,0.5,0.049491954093023094,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,45000000,45000000,22500000,22500000
4,houston,Houston,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,60000000,0,0,0
4,houston,Houston,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,65000000,0,0,0
4,houston,Houston,tnc,Managed rideshare hub,2,1 staffed hub,0.5,0.0879856961653744,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,40000000,80000000,40000000,40000000
4,houston,Houston,wayfinding,Multilingual wayfinding,2,city package,0.45,0.0659892721240308,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,30000000,60000000,27000000,33000000
4,houston,Houston,station,Station-capacity package,1,1 station,0.2,0.1374776502583975,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,125000000,125000000,25000000,100000000
4,houston,Houston,toc,Integrated traffic operations,2,city package,0.25,0.164973180310077,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,75000000,150000000,37500000,112500000
4,houston,Houston,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,50000000,0,0,0
4,houston,Houston,reserve,Unassigned program reserve,1,residual,0,0.010160918139538056,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,909238700,,9238700,0,0
5,kansas-city,Kansas City,service,Extra transit service,3,"2,500 vehicle-hours",0.8,0.1911464885289517,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,55000000,165000000,132000000,33000000
5,kansas-city,Kansas City,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.16681875362526694,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,36000000,144000000,64800000,79200000
5,kansas-city,Kansas City,signals,Signal timing plans,4,20 intersections,0.25,0.041704688406316734,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,9000000,36000000,9000000,27000000
5,kansas-city,Kansas City,hub,Hub-to-stadium shuttle package,3,1 hub package,0.4,0.2606543025394796,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,75000000,225000000,90000000,135000000
5,kansas-city,Kansas City,parkride,Park-and-ride package,2,500 spaces,0.5,0.10426172101579183,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,45000000,90000000,45000000,45000000
5,kansas-city,Kansas City,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,60000000,0,0,0
5,kansas-city,Kansas City,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,65000000,0,0,0
5,kansas-city,Kansas City,tnc,Managed rideshare hub,3,1 staffed hub,0.5,0.13901562802105577,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,40000000,120000000,60000000,60000000
5,kansas-city,Kansas City,wayfinding,Multilingual wayfinding,0,city package,0.45,0,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,30000000,0,0,0
5,kansas-city,Kansas City,station,Station-capacity package,0,1 station,0.2,0,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,125000000,0,0,0
5,kansas-city,Kansas City,toc,Integrated traffic operations,1,city package,0.25,0.08688476751315985,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,75000000,75000000,18750000,56250000
5,kansas-city,Kansas City,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,50000000,0,0,0
5,kansas-city,Kansas City,reserve,Unassigned program reserve,1,residual,0,0.009513650349977636,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,863212300,,8212300,0,0
6,los-angeles,Los Angeles,service,Extra transit service,3,"2,500 vehicle-hours",0.8,0.17181622453319093,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,55000000,165000000,132000000,33000000
6,los-angeles,Los Angeles,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.14994870504714847,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,36000000,144000000,64800000,79200000
6,los-angeles,Los Angeles,signals,Signal timing plans,4,20 intersections,0.25,0.03748717626178712,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,9000000,36000000,9000000,27000000
6,los-angeles,Los Angeles,hub,Hub-to-stadium shuttle package,3,1 hub package,0.4,0.23429485163616945,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,75000000,225000000,90000000,135000000
6,los-angeles,Los Angeles,parkride,Park-and-ride package,2,500 spaces,0.5,0.09371794065446779,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,45000000,90000000,45000000,45000000
6,los-angeles,Los Angeles,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,60000000,0,0,0
6,los-angeles,Los Angeles,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,65000000,0,0,0
6,los-angeles,Los Angeles,tnc,Managed rideshare hub,3,1 staffed hub,0.5,0.12495725420595705,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,40000000,120000000,60000000,60000000
6,los-angeles,Los Angeles,wayfinding,Multilingual wayfinding,1,city package,0.45,0.03123931355148926,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,30000000,30000000,13500000,16500000
6,los-angeles,Los Angeles,station,Station-capacity package,0,1 station,0.2,0,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,125000000,0,0,0
6,los-angeles,Los Angeles,toc,Integrated traffic operations,2,city package,0.25,0.1561965677574463,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,75000000,150000000,37500000,112500000
6,los-angeles,Los Angeles,access,ADA/microtransit access,0,city package,0.3,0,accessible shuttles; temporary ramps and staffed assistance,ADA ramps; tactile guidance; accessible first/last-mile network,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,50000000,0,0,0
6,los-angeles,Los Angeles,reserve,Unassigned program reserve,1,residual,0,0.0003419663523436358,Not committed in this demonstration model,"Release only after engineering, operations and contingency review",0,formula_residual,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,960328400,,328400,0,0
7,miami,Miami,service,Extra transit service,3,"2,500 vehicle-hours",0.8,0.18971121354239126,extra rail/bus vehicle-hours; standby operators; event timetable,recurring major-event service plan; fleet and stabling readiness,1,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,55000000,165000000,132000000,33000000
7,miami,Miami,buslane,Transit-priority lanes,4,2 lane-miles,0.45,0.16556615000063238,cone- and paint-defined bus lane with enforcement,dedicated or peak-period transit-priority lane,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,36000000,144000000,64800000,79200000
7,miami,Miami,signals,Signal timing plans,3,20 intersections,0.25,0.03104365312511857,police/manual traffic control and temporary timing plan,adaptive controllers and transit signal priority,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,9000000,27000000,6750000,20250000
7,miami,Miami,hub,Hub-to-stadium shuttle package,3,1 hub package,0.4,0.25869710937598805,pop-up shuttle zone; temporary shelters and dispatch,permanent multimodal mobility hub,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,75000000,225000000,90000000,135000000
7,miami,Miami,parkride,Park-and-ride package,1,500 spaces,0.5,0.051739421875197616,leased intercept lots and temporary signing,permanent park-and-ride with charging and transit access,5,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,45000000,45000000,22500000,22500000
7,miami,Miami,ped,Protected pedestrian corridor,0,1 tactical mile,0.35,0,barricaded protected corridor; marshals and lighting,widened sidewalk; lighting; drainage and separation,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,60000000,0,0,0
7,miami,Miami,bike,Protected bicycle access,0,2 route-miles + parking,0.35,0,pop-up protected lane and attended bike valet,protected bikeway and secure long-term parking,15,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,65000000,0,0,0
7,miami,Miami,tnc,Managed rideshare hub,2,1 staffed hub,0.5,0.09198119444479576,staffed geofenced pickup with temporary lane control,off-street rideshare hub with accessible bays,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,40000000,80000000,40000000,40000000
7,miami,Miami,wayfinding,Multilingual wayfinding,1,city package,0.45,0.03449294791679841,portable signs; digital messages; multilingual ambassadors,fixed multilingual physical and digital wayfinding,7,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,30000000,30000000,13500000,16500000
7,miami,Miami,station,Station-capacity package,0,1 station,0.2,0,temporary gates; queue barriers; portable fare equipment,"platform, entry and circulation expansion",25,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,125000000,0,0,0
7,miami,Miami,toc,Integrated traffic operations,2,city package,0.25,0.17246473958399205,unified incident command and temporary sensor feeds,integrated operations center and adaptive dispatch,10,engineering_assumption,fta-wc26,https://www.transit.dot.gov/funding/apportionments/fta-world-cup-funding-apportionment-table,869743000,75000000,150000000,37500000,112500000
